,id
318,276583972
319,276555888
320,276176078
321,275625701
322,275431364
323,270734420
324,263391841
325,249392700
326,248656094
327,247843970
328,219148748
329,217154522
330,214599046
331,205942263
332,174605333
333,171549946
334,162100210
335,107802183
336,105078425
337,76013370
338,75996806
339,75996793
340,75996789
341,54374481
342,50723822
343,48481763
344,36363381
345,32748093
346,15592539
347,10383904
348,7982628
349,3608623
350,278275166
351,278106055
352,278031017
353,278029707
354,277967018
355,277926258
356,277925823
357,277748735
358,277181317
359,277175092
360,276919300
361,276886071
362,276509008
363,276353084
364,275190399
365,275178313
366,273691914
367,273691882
368,273486371
369,271337379
370,262664014
371,215902943
372,215737450
373,152740748
374,147058065
375,104907762
376,94878710
377,82936273
378,82912488
379,75996803
380,75813201
381,74616448
382,69644748
383,52004412
384,35191892
385,26114399
386,16391543
387,10095276
388,4218241
389,540039
390,278216426
391,278195455
392,278123404
393,278110636
394,278098972
395,278055612
396,278029748
397,277969346
398,277922667
399,277842134
400,277815092
401,277599510
402,277425002
403,277165432
404,276912320
405,276649438
406,276508349
407,276471716
408,275613236
409,274931586
410,274599269
411,273822788
412,273457566
413,269946656
414,241758784
415,190843478
416,120219394
417,111285062
418,111285050
419,104769768
420,76014598
421,76013378
422,73120237
423,68059466
424,58390336
425,19588948
426,14684312
427,10379317
428,377644
429,347334
430,278321464
431,278169849
432,278160412
433,278066256
434,278035268
435,278025563
436,277963698
437,277922912
438,277816006
439,277770730
440,277409592
441,277408894
442,277392924
443,277138921
444,276981105
445,276829554
446,276525618
447,276418965
448,276376962
449,275770196
450,275332787
451,274728364
452,273219043
453,271495366
454,271199015
455,270625950
456,261028263
457,242424688
458,241821098
459,187827443
460,170706990
461,132355740
462,115078652
463,106362865
464,105663942
465,100376369
466,77112144
467,74277389
468,53434797
469,50277621
470,278131404
471,278129713
472,278106457
473,278100335
474,278055537
475,277946326
476,277827033
477,276508158
478,276285600
479,275354843
480,274845354
481,274845339
482,274545380
483,273983803
484,273870867
485,273708851
486,273046864
487,272000023
488,271528700
489,271162836
490,270794973
491,267208813
492,263677407
493,241899722
494,199216988
495,192909292
496,186286187
497,161310103
498,152743069
499,121372698
500,104651900
501,92492870
502,87391039
503,76776245
504,53974339
505,52788074
506,48525992
507,15416797
508,8021467
509,970417
510,278072969
511,278061078
512,278055553
513,277998254
514,277967046
515,277916176
516,277837126
517,277592227
518,277527674
519,277397097
520,276900244
521,276583969
522,276497195
523,276375291
524,275946529
525,275600231
526,275237444
527,274930094
528,271219230
529,271193242
530,263677359
531,252591756
532,248544480
533,205894405
534,198197156
535,193512319
536,177637709
537,157054862
538,148911039
539,110448022
540,109765020
541,106863962
542,83680359
543,76388962
544,67712887
545,57211757
546,16269970
547,3082815
548,1938895
549,1699251
550,278504736
551,278149090
552,278090642
553,277914851
554,277837138
555,277742606
556,277316426
557,277312183
558,276688548
559,276369573
560,276139257
561,275861848
562,275733410
563,274926108
564,273844978
565,273524655
566,273401813
567,272111568
568,252357155
569,250334911
570,245787187
571,229725276
572,194205624
573,191541149
574,190755673
575,181122317
576,174215347
577,138107485
578,115869784
579,100395623
580,83038164
581,67060010
582,56750844
583,50475521
584,35761355
585,19274771
586,16284288
587,13443886
588,7369223
589,4080373
590,278226389
591,278216424
592,278170054
593,278155115
594,278058668
595,278049069
596,278031197
597,277997095
598,277920150
599,277702259
600,277410869
601,277314385
602,276750755
603,276718105
604,276581620
605,276562878
606,274761775
607,273134999
608,272123977
609,270113892
610,252385478
611,251756016
612,207968695
613,196142087
614,195573547
615,192125792
616,186434700
617,176831144
618,94173458
619,79672197
620,70415993
621,66067655
622,19824204
623,10695080
624,9729890
625,5914507
626,1080002
627,1019482
628,535576
629,416389
630,278058669
631,278031021
632,277920162
633,277857243
634,277621647
635,277543284
636,277370135
637,277358697
638,277281568
639,276256745
640,275840778
641,275688024
642,275605089
643,275263330
644,274799817
645,273961038
646,272369236
647,270678975
648,212213018
649,205010298
650,196897427
651,196150482
652,193439380
653,187316087
654,186290826
655,184101365
656,181699672
657,173745189
658,161426354
659,106149744
660,88961789
661,74416876
662,72744612
663,58971676
664,44976191
665,13920941
666,12377498
667,10752432
668,8885995
669,1681473
670,278244962
671,278154094
672,277920189
673,277837121
674,277832339
675,277486793
676,277444558
677,277228145
678,277186532
679,276750342
680,276479792
681,275962493
682,275843796
683,275820934
684,275802227
685,275707238
686,275189901
687,274932357
688,274364242
689,274198904
690,273745122
691,273534078
692,273333442
693,273174385
694,273157374
695,272517925
696,271317433
697,271151620
698,271135564
699,247858753
700,199728871
701,196373994
702,184781428
703,163577974
704,158868255
705,105085752
706,67991610
707,53128072
708,22650284
709,7718737
710,278245977
711,278116029
712,278035740
713,278018088
714,277912060
715,277750399
716,277621881
717,277356504
718,276241716
719,276138370
720,275585434
721,274715618
722,273822792
723,273383957
724,270453684
725,262862184
726,251577060
727,243006533
728,212462564
729,205001886
730,204027453
731,168293266
732,167301575
733,164921979
734,145288041
735,145134949
736,138269668
737,131497044
738,124767712
739,94382224
740,91625816
741,87379603
742,82041440
743,75996795
744,35740871
745,14655136
746,13407561
747,10566743
748,6807847
749,1443167
750,277981913
751,277946313
752,277599516
753,277499663
754,276589315
755,276462110
756,276399400
757,276147354
758,275882939
759,275875006
760,275802229
761,275620664
762,275332765
763,275006079
764,273713282
765,273356637
766,271495367
767,271141484
768,270504469
769,252892381
770,243097256
771,242770600
772,200780130
773,198644079
774,191801175
775,185889844
776,168559524
777,165150427
778,143226165
779,117681065
780,116397449
781,114579052
782,74608741
783,54624820
784,54431361
785,27594632
786,11508322
787,7958959
788,5412667
789,1000276
790,278123145
791,278118319
792,278095634
793,277722344
794,277587069
795,276810789
796,276567409
797,275948238
798,275868849
799,275864837
800,275605048
801,275452244
802,275210710
803,274932429
804,273326851
805,272392514
806,270742908
807,270734740
808,208561144
809,207852930
810,201679854
811,198208141
812,195357774
813,193433944
814,153045613
815,114578905
816,75996808
817,73586947
818,73521489
819,73207098
820,55287030
821,52805060
822,51574033
823,26135056
824,19349133
825,2430425
826,974014
827,586937
828,509829
829,394473
